平均值,出现次数,所占百分比
2,1,0.02%
2.3333333,1,0.02%
2.6666667,2,0.04%
3,3,0.07%
3.3333333,4,0.09%
3.6666667,5,0.11%
4,7,0.16%
4.3333335,8,0.18%
4.6666665,10,0.22%
5,12,0.27%
5.3333335,14,0.31%
5.6666665,16,0.36%
6,19,0.42%
6.3333335,21,0.47%
6.6666665,24,0.53%
7,27,0.60%
7.3333335,30,0.67%
7.6666665,33,0.73%
8,37,0.82%
8.333333,40,0.89%
8.666667,44,0.98%
9,48,1.07%
9.333333,52,1.16%
9.666667,56,1.25%
10,61,1.36%
10.333333,65,1.45%
10.666667,70,1.56%
11,75,1.67%
11.333333,80,1.78%
11.666667,84,1.87%
12,89,1.98%
12.333333,92,2.05%
12.666667,96,2.14%
13,99,2.20%
13.333333,102,2.27%
13.666667,104,2.31%
14,107,2.38%
14.333333,108,2.40%
14.666667,110,2.45%
15,111,2.47%
15.333333,112,2.49%
15.666667,112,2.49%
16,113,2.51%
16.333334,112,2.49%
16.666666,112,2.49%
17,111,2.47%
17.333334,110,2.45%
17.666666,108,2.40%
18,107,2.38%
18.333334,104,2.31%
18.666666,102,2.27%
19,99,2.20%
19.333334,96,2.14%
19.666666,92,2.05%
20,89,1.98%
20.333334,84,1.87%
20.666666,80,1.78%
21,75,1.67%
21.333334,70,1.56%
21.666666,65,1.45%
22,61,1.36%
22.333334,56,1.25%
22.666666,52,1.16%
23,48,1.07%
23.333334,44,0.98%
23.666666,40,0.89%
24,37,0.82%
24.333334,33,0.73%
24.666666,30,0.67%
25,27,0.60%
25.333334,24,0.53%
25.666666,21,0.47%
26,19,0.42%
26.333334,16,0.36%
26.666666,14,0.31%
27,12,0.27%
27.333334,10,0.22%
27.666666,8,0.18%
28,7,0.16%
28.333334,5,0.11%
28.666666,4,0.09%
29,3,0.07%
29.333334,2,0.04%
29.666666,1,0.02%
30,1,0.02%
